,Variety,Country,Province,Region,Subregion,count,geo_normalized
3242,Merlot,US,California,Napa,Napa County,2,"Napa Valley, North Coast, California, USA"
3243,Merlot,US,California,Napa,Napa Valley,194,"Napa Valley, North Coast, California, USA"
3244,Merlot,US,California,Napa,Oak Knoll District,12,"Napa Valley, North Coast, California, USA"
3245,Merlot,US,California,Napa,Oakville,13,"Napa Valley, North Coast, California, USA"
3246,Merlot,US,California,Napa,Rutherford,8,"Napa Valley, North Coast, California, USA"
3247,Merlot,US,California,Napa,Spring Mountain District,5,"Napa Valley, North Coast, California, USA"
3248,Merlot,US,California,Napa,St. Helena,4,"Napa Valley, North Coast, California, USA"
3249,Merlot,US,California,Napa,Stags Leap District,3,"Napa Valley, North Coast, California, USA"
3250,Merlot,US,California,Napa,Yountville,7,"Napa Valley, North Coast, California, USA"
3251,Merlot,US,California,Napa-Sonoma,Carneros,22,"Napa-Sonoma, North Coast, California, USA"
3252,Merlot,US,California,Napa-Sonoma,Napa County-Sonoma County,4,"Napa-Sonoma, North Coast, California, USA"
3253,Merlot,US,California,Napa-Sonoma,Sonoma County-Napa County,2,"Napa-Sonoma, North Coast, California, USA"
3255,Merlot,US,California,North Coast,North Coast,14,
3256,Merlot,US,California,North Coast,Willow Creek,2,"Humboldt County, North Coast, California, USA"
3257,Merlot,US,California,North Coast,Yorkville Highlands,4,"Mendocino, North Coast, California, USA"
3258,Merlot,US,California,Sierra Foothills,Calaveras County,2,"Sierra Foothills, California, USA"
3259,Merlot,US,California,Sierra Foothills,El Dorado,7,"Sierra Foothills, California, USA"
3260,Merlot,US,California,Sierra Foothills,Fair Play,2,"Sierra Foothills, California, USA"
3261,Merlot,US,California,Sierra Foothills,Sierra Foothills,5,"Sierra Foothills, California, USA"
3262,Merlot,US,California,Sonoma,Alexander Valley,22,"Sonoma Valley, North Coast, California, USA"
3263,Merlot,US,California,Sonoma,Bennett Valley,5,"Sonoma Valley, North Coast, California, USA"
3265,Merlot,US,California,Sonoma,Dry Creek Valley,18,"Sonoma Valley, North Coast, California, USA"
3266,Merlot,US,California,Sonoma,Knights Valley,6,"Sonoma Valley, North Coast, California, USA"
3267,Merlot,US,California,Sonoma,Moon Mountain District Sonoma County,6,"Sonoma Valley, North Coast, California, USA"
3269,Merlot,US,California,Sonoma,Russian River Valley,11,"Sonoma Valley, North Coast, California, USA"
3271,Merlot,US,California,Sonoma,Sonoma County,64,"Sonoma Valley, North Coast, California, USA"
3272,Merlot,US,California,Sonoma,Sonoma Mountain,2,"Sonoma Valley, North Coast, California, USA"
3273,Merlot,US,California,Sonoma,Sonoma Valley,26,"Sonoma Valley, North Coast, California, USA"
3274,Merlot,US,California,South Coast,Los Angeles County,2,"South Coast, California, USA"
3277,Merlot,US,California,South Coast,South Coast,2,"South Coast, California, USA"
3278,Merlot,US,California,South Coast,Temecula Valley,6,"South Coast, California, USA"
3279,Merlot,US,Colorado,Colorado,none,5,"Colorado, USA"
3280,Merlot,US,Colorado,Grand Valley,none,2,"Colorado, USA"
3282,Merlot,US,Idaho,Idaho,none,5,"Idaho, USA"
3283,Merlot,US,Idaho,none,none,9,"Idaho, USA"
3285,Merlot,US,Michigan,Old Mission Peninsula,none,3,"Michigan, USA"
3288,Merlot,US,New Mexico,New Mexico,none,5,"New Mexico, USA"
3289,Merlot,US,New York,Finger Lakes,Finger Lakes,48,"Finger Lakes, New York, USA"
3290,Merlot,US,New York,Finger Lakes,Seneca Lake,3,"Finger Lakes, New York, USA"
3291,Merlot,US,New York,Long Island,Long Island,25,"Long Island, New York, USA"
3292,Merlot,US,New York,Long Island,North Fork of Long Island,164,"Long Island, New York, USA"
3293,Merlot,US,New York,New York Other,New York,13,
3294,Merlot,US,Oregon,Oregon Other,Columbia Gorge (OR),3,"Columbia Valley, Oregon, USA"
3295,Merlot,US,Oregon,Oregon Other,Columbia Valley (OR),10,"Columbia Valley, Oregon, USA"
3296,Merlot,US,Oregon,Oregon Other,Oregon,9,
3297,Merlot,US,Oregon,Oregon Other,Walla Walla Valley (OR),9,"Columbia Valley, Oregon, USA"
3298,Merlot,US,Oregon,Southern Oregon,Applegate Valley,12,"Southern Oregon, Oregon, USA"
3299,Merlot,US,Oregon,Southern Oregon,Rogue Valley,32,"Southern Oregon, Oregon, USA"
3300,Merlot,US,Oregon,Southern Oregon,Southern Oregon,12,"Southern Oregon, Oregon, USA"
3301,Merlot,US,Oregon,Southern Oregon,Umpqua Valley,13,"Southern Oregon, Oregon, USA"
3302,Merlot,US,Pennsylvania,Pennsylvania,none,2,"Pennsylvania, USA"
3303,Merlot,US,Texas,Texas,none,6,"Texas, USA"
3305,Merlot,US,Virginia,Monticello,none,10,"Virginia, USA"
3306,Merlot,US,Virginia,Virginia,none,19,"Virginia, USA"
3309,Merlot,US,Washington,Columbia Valley,Columbia Valley (WA),771,"Columbia Valley, Washington, USA"
3310,Merlot,US,Washington,Columbia Valley,Horse Heaven Hills,71,"Columbia Valley, Washington, USA"
3311,Merlot,US,Washington,Columbia Valley,Rattlesnake Hills,16,"Columbia Valley, Washington, USA"
3312,Merlot,US,Washington,Columbia Valley,Red Mountain,77,"Columbia Valley, Washington, USA"
3313,Merlot,US,Washington,Columbia Valley,Wahluke Slope,50,"Columbia Valley, Washington, USA"
3315,Merlot,US,Washington,Columbia Valley,Walla Walla Valley (WA),195,"Columbia Valley, Washington, USA"
3316,Merlot,US,Washington,Columbia Valley,Yakima Valley,112,"Columbia Valley, Washington, USA"
3317,Merlot,US,Washington,Washington Other,Columbia Gorge (WA),2,"Columbia Valley, Washington, USA"
3318,Merlot,US,Washington,Washington Other,Washington,82,
3319,Merlot,Ukraine,Ukraine,none,none,2,
3320,Merlot,Uruguay,Canelones,none,none,3,"Canelones, Uruguay"
3322,Merlot,Uruguay,Montevideo,none,none,2,"Canelones, Uruguay"
3323,"Merlot-Argaman, Red Blends",Israel,Dan,none,none,2,"Golan Heights, Israel"
3332,"Merlot-Cabernet Franc, Bordeaux-style Red Blend",New Zealand,Hawke's Bay,none,none,2,"Hawke's Bay, New Zealand"
3340,"Merlot-Cabernet Franc, Bordeaux-style Red Blend",US,New York,Finger Lakes,Finger Lakes,2,"Finger Lakes, New York, USA"
3341,"Merlot-Cabernet Franc, Bordeaux-style Red Blend",US,New York,Long Island,North Fork of Long Island,3,"Long Island, New York, USA"
3342,"Merlot-Cabernet Franc, Bordeaux-style Red Blend",US,Washington,Columbia Valley,Columbia Valley (WA),13,"Columbia Valley, Washington, USA"
3347,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",Brazil,Vale dos Vinhedos,none,none,2,"Vale dos Vinhedos, Brazil"
3349,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",Chile,Cachapoal Valley,none,none,4,"Cachapoal Valley, Central Valley, Chile"
3350,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",Chile,Colchagua Valley,none,none,2,"Colchagua Valley, Central Valley, Chile"
3351,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",Chile,Maipo Valley,none,none,2,"Maipo Valley, Central Valley, Chile"
3353,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",Chile,Rapel Valley,none,none,2,"Rapel Valley, Central Valley, Chile"
3355,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",France,Bordeaux,Bordeaux,none,8,
3365,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",Israel,Galilee,none,none,2,"Galilee, Israel"
3367,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",New Zealand,Hawke's Bay,none,none,11,"Hawke's Bay, New Zealand"
3369,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",South Africa,Paarl,none,none,2,"Coastal Region, South Africa"
3370,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",South Africa,Philadelphia,none,none,2,"Coastal Region, South Africa"
3372,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",South Africa,Stellenbosch,none,none,5,"Coastal Region, South Africa"
3373,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",South Africa,Western Cape,none,none,2,
3375,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",Spain,Northern Spain,Navarra,none,7,"Navarra, Northeast Spain, Spain"
3379,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",US,California,Central Coast,Paso Robles,3,"Paso Robles, Central Coast, California, USA"
3388,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",US,Washington,Columbia Valley,Columbia Valley (WA),9,"Columbia Valley, Washington, USA"
3389,"Merlot-Cabernet Sauvignon, Bordeaux-style Red Blend",US,Washington,Columbia Valley,Walla Walla Valley (WA),4,"Columbia Valley, Washington, USA"
3399,"Merlot-Cabernet, Bordeaux-style Red Blend",US,Washington,Columbia Valley,Columbia Valley (WA),5,"Columbia Valley, Washington, USA"
3400,"Merlot-Cabernet, Bordeaux-style Red Blend",US,Washington,Washington Other,Washington,2,
3403,"Merlot-Malbec, Bordeaux-style Red Blend",Argentina,Mendoza Province,Mendoza,none,4,"Mendoza, Argentina"
3409,"Merlot-Malbec, Bordeaux-style Red Blend",France,Southwest France,Buzet,none,2,"Southwest France, France"
3411,"Merlot-Malbec, Bordeaux-style Red Blend",New Zealand,Hawke's Bay,none,none,4,"Hawke's Bay, New Zealand"
3417,"Merlot-Syrah, Red Blends",Portugal,Lisboa,none,none,2,"Lisboa, Portugal"
3420,"Merlot-Tannat, Red Blends",France,Southwest France,CÃ´tes de Gascogne,none,4,"Southwest France, France"
3425,"Monastrell-Syrah, Red Blends",Spain,Levante,Alicante,none,2,"Valencia, Northeast Spain, Spain"
3426,"Monastrell-Syrah, Red Blends",Spain,Levante,Jumilla,none,21,"Murcia, Northeast Spain, Spain"
3427,"Monastrell-Syrah, Red Blends",Spain,Levante,Yecla,none,4,"Murcia, Northeast Spain, Spain"
3428,"Monica, Italian Red",Italy,Sicily & Sardinia,Monica di Sardegna,none,4,"Sardinia, Southern Italy, Italy"
3432,"Montepulciano, Italian Red",Italy,Central Italy,Cerasuolo d'Abruzzo,none,4,"Abruzzo, Central Italy, Italy"
3433,"Montepulciano, Italian Red",Italy,Central Italy,Conero,none,8,"Le Marche, Central Italy, Italy"
3435,"Montepulciano, Italian Red",Italy,Central Italy,Montepulciano d'Abruzzo,none,115,"Abruzzo, Central Italy, Italy"
3436,"Montepulciano, Italian Red",Italy,Central Italy,Montepulciano d'Abruzzo Colline Teramane,none,14,"Abruzzo, Central Italy, Italy"
3437,"Montepulciano, Italian Red",Italy,Central Italy,Rosso Conero,none,12,"Le Marche, Central Italy, Italy"
3442,"Montepulciano, Italian Red",US,California,Central Coast,Contra Costa County,2,"San Francisco Bay, Central Coast, California, USA"
3450,"Montepulciano, Italian Red",US,California,South Coast,Temecula Valley,6,"South Coast, California, USA"
3452,"Montepulciano, Italian Red",US,North Carolina,Swan Creek,none,3,"North Carolina, USA"
3458,"Nascetta, Italian White",Italy,Piedmont,Langhe,none,4,"Piedmont, Northwest Italy, Italy"
3459,"Nasco, Italian White",Italy,Sicily & Sardinia,Nasco di Cagliari,none,2,"Sardinia, Southern Italy, Italy"
3460,Nebbiolo,Argentina,Mendoza Province,LujÃ¡n de Cuyo,none,3,"Mendoza, Argentina"
3463,Nebbiolo,Italy,Italy Other,Vino Rosso d'Italia,none,2,
3464,Nebbiolo,Italy,Italy Other,Vino Spumante,none,16,
3466,Nebbiolo,Italy,Lombardy,Sforzato di Valtellina,none,24,"Lombardy, Northwest Italy, Italy"
3467,Nebbiolo,Italy,Lombardy,Terrazze Retiche di Sondrio,none,2,"Lombardy, Northwest Italy, Italy"
3468,Nebbiolo,Italy,Lombardy,Valtellina,none,6,"Lombardy, Northwest Italy, Italy"
3469,Nebbiolo,Italy,Lombardy,Valtellina Superiore,none,67,"Lombardy, Northwest Italy, Italy"
3471,Nebbiolo,Italy,Piedmont,Barbaresco,none,867,"Piedmont, Northwest Italy, Italy"
3472,Nebbiolo,Italy,Piedmont,Barolo,none,1924,"Piedmont, Northwest Italy, Italy"
3473,Nebbiolo,Italy,Piedmont,Carema,none,3,"Piedmont, Northwest Italy, Italy"
3474,Nebbiolo,Italy,Piedmont,Colline Novaresi,none,12,"Piedmont, Northwest Italy, Italy"
3475,Nebbiolo,Italy,Piedmont,Coste della Sesia,none,9,"Piedmont, Northwest Italy, Italy"
3478,Nebbiolo,Italy,Piedmont,Gattinara,none,41,"Piedmont, Northwest Italy, Italy"
3479,Nebbiolo,Italy,Piedmont,Ghemme,none,18,"Piedmont, Northwest Italy, Italy"
3480,Nebbiolo,Italy,Piedmont,Langhe,none,57,"Piedmont, Northwest Italy, Italy"
3481,Nebbiolo,Italy,Piedmont,Lessona,none,9,"Piedmont, Northwest Italy, Italy"
3482,Nebbiolo,Italy,Piedmont,Nebbiolo d'Alba,none,47,"Piedmont, Northwest Italy, Italy"
3483,Nebbiolo,Italy,Piedmont,Piedmont,none,31,"Piedmont, Northwest Italy, Italy"
3484,Nebbiolo,Italy,Piedmont,Roero,none,30,"Piedmont, Northwest Italy, Italy"
3488,Nebbiolo,Mexico,Valle de Guadalupe,none,none,5,"Valle de Guadalupe, Mexico"
3491,Nebbiolo,US,California,Central Coast,Paso Robles,8,"Paso Robles, Central Coast, California, USA"
3493,Nebbiolo,US,California,Central Coast,Santa Barbara County,5,"Santa Barbara, Central Coast, California, USA"
3494,Nebbiolo,US,California,Central Coast,Santa Clara Valley,2,"San Francisco Bay, Central Coast, California, USA"
3495,Nebbiolo,US,California,Central Coast,Santa Cruz Mountains,2,"San Francisco Bay, Central Coast, California, USA"
3496,Nebbiolo,US,California,Central Coast,Santa Maria Valley,3,"Santa Barbara, Central Coast, California, USA"
3497,Nebbiolo,US,California,Central Coast,Santa Ynez Valley,3,"Santa Barbara, Central Coast, California, USA"
3501,Nebbiolo,US,California,Sierra Foothills,Amador County,2,"Sierra Foothills, California, USA"
3507,Nebbiolo,US,Virginia,Virginia,none,3,"Virginia, USA"
3508,Nebbiolo,US,Washington,Columbia Valley,Columbia Valley (WA),6,"Columbia Valley, Washington, USA"
3510,Nebbiolo,US,Washington,Columbia Valley,Naches Heights,3,"Columbia Valley, Washington, USA"
3511,Nebbiolo,US,Washington,Columbia Valley,Red Mountain,3,"Columbia Valley, Washington, USA"
3512,Nebbiolo,US,Washington,Columbia Valley,Wahluke Slope,4,"Columbia Valley, Washington, USA"
3514,"Negroamaro, Italian Red",Italy,Southern Italy,Copertino,none,2,"Puglia, Southern Italy, Italy"
3516,"Negroamaro, Italian Red",Italy,Southern Italy,Puglia,none,12,"Puglia, Southern Italy, Italy"
3517,"Negroamaro, Italian Red",Italy,Southern Italy,Salento,none,42,"Puglia, Southern Italy, Italy"
3518,"Negroamaro, Italian Red",Italy,Southern Italy,Salice Salentino,none,6,"Puglia, Southern Italy, Italy"
3524,"Nerello Cappuccio, Italian Red",Italy,Sicily & Sardinia,Sicilia,none,4,"Sicily, Southern Italy, Italy"
3525,"Nerello Cappuccio, Italian Red",Italy,Sicily & Sardinia,Terre Siciliane,none,3,"Sicily, Southern Italy, Italy"
3526,"Nerello Mascalese, Italian Red",Italy,Italy Other,Vino Spumante,none,7,
3527,"Nerello Mascalese, Italian Red",Italy,Italy Other,Vino da Tavola,none,6,
3528,"Nerello Mascalese, Italian Red",Italy,Sicily & Sardinia,Etna,none,96,"Sicily, Southern Italy, Italy"
3529,"Nerello Mascalese, Italian Red",Italy,Sicily & Sardinia,Sicilia,none,10,"Sicily, Southern Italy, Italy"
3530,"Nerello Mascalese, Italian Red",Italy,Sicily & Sardinia,Terre Siciliane,none,33,"Sicily, Southern Italy, Italy"
3531,"Nerello Mascalese, Italian Red",Italy,Southern Italy,Calabria,none,2,"Calabria, Southern Italy, Italy"
3535,"Nero d'Avola, Italian Red",Italy,Italy Other,Vino da Tavola,none,2,
3538,"Nero d'Avola, Italian Red",Italy,Sicily & Sardinia,Eloro,none,10,"Sicily, Southern Italy, Italy"
3539,"Nero d'Avola, Italian Red",Italy,Sicily & Sardinia,Erice,none,4,"Sicily, Southern Italy, Italy"
3540,"Nero d'Avola, Italian Red",Italy,Sicily & Sardinia,Menfi,none,2,"Sicily, Southern Italy, Italy"
3541,"Nero d'Avola, Italian Red",Italy,Sicily & Sardinia,Monreale,none,2,"Sicily, Southern Italy, Italy"
3542,"Nero d'Avola, Italian Red",Italy,Sicily & Sardinia,Noto,none,5,"Sicily, Southern Italy, Italy"
3543,"Nero d'Avola, Italian Red",Italy,Sicily & Sardinia,Sicilia,none,183,"Sicily, Southern Italy, Italy"
3544,"Nero d'Avola, Italian Red",Italy,Sicily & Sardinia,Terre Siciliane,none,67,"Sicily, Southern Italy, Italy"
3545,"Nero d'Avola, Italian Red",Italy,Sicily & Sardinia,Vittoria,none,5,"Sicily, Southern Italy, Italy"
3546,"Nero d'Avola, Italian Red",US,California,Central Valley,Lodi,2,"Inland Valleys, California, USA"
3548,"Nero d'Avola, Italian Red",US,Texas,Texas,none,2,"Texas, USA"
3549,"Nero di Troia, Italian Red",Italy,Southern Italy,Castel del Monte,none,9,"Puglia, Southern Italy, Italy"
3550,"Nero di Troia, Italian Red",Italy,Southern Italy,Puglia,none,8,"Puglia, Southern Italy, Italy"
3552,"Nosiola, Italian White",Italy,Northeastern Italy,Trentino,none,3,"Trento, Northeast Italy, Italy"
3553,"Nosiola, Italian White",Italy,Northeastern Italy,Vigneti delle Dolomiti,none,2,
3554,"Nuragus, Italian White",Italy,Sicily & Sardinia,Nuragus di Cagliari,none,3,"Sardinia, Southern Italy, Italy"
3555,"Pallagrello Bianco, Italian White",Italy,Southern Italy,Terre del Volturno,none,3,"Campania, Southern Italy, Italy"
3556,"Pallagrello Nero, Italian Red",Italy,Southern Italy,Terre del Volturno,none,5,"Campania, Southern Italy, Italy"
3557,"Passerina, Italian White",Italy,Central Italy,Terre di Chieti,none,2,"Abruzzo, Central Italy, Italy"
3558,"Pecorino, Italian White",Italy,Central Italy,Abruzzo,none,4,"Abruzzo, Central Italy, Italy"
3560,"Pecorino, Italian White",Italy,Central Italy,Colline Pescaresi,none,2,"Abruzzo, Central Italy, Italy"
3563,"Pecorino, Italian White",Italy,Central Italy,Offida Pecorino,none,4,"Le Marche, Central Italy, Italy"
3564,"Pecorino, Italian White",Italy,Central Italy,Terre di Chieti,none,6,"Abruzzo, Central Italy, Italy"
3566,"Perricone, Italian Red",Italy,Sicily & Sardinia,Sicilia,none,8,"Sicily, Southern Italy, Italy"
3567,"Perricone, Italian Red",Italy,Sicily & Sardinia,Terre Siciliane,none,2,"Sicily, Southern Italy, Italy"
3569,Petite Sirah,Australia,Australia Other,South Eastern Australia,none,3,
3570,Petite Sirah,Australia,South Australia,Barossa Valley,none,2,"South Australia, Australia"
3571,Petite Sirah,Australia,South Australia,McLaren Vale,none,2,"South Australia, Australia"
3574,Petite Sirah,Chile,Maipo Valley,none,none,6,"Maipo Valley, Central Valley, Chile"
3575,Petite Sirah,Israel,Galilee,none,none,4,"Galilee, Israel"
3576,Petite Sirah,Israel,Israel,none,none,2,
3577,Petite Sirah,Israel,Judean Hills,none,none,6,"Judea, Israel"
3578,Petite Sirah,Israel,Samson,none,none,2,
3579,Petite Sirah,Mexico,Valle de Guadalupe,none,none,2,"Valle de Guadalupe, Mexico"
3580,Petite Sirah,US,California,California Other,California,30,
3582,Petite Sirah,US,California,Central Coast,Central Coast,5,
3583,Petite Sirah,US,California,Central Coast,Contra Costa County,9,"San Francisco Bay, Central Coast, California, USA"
3584,Petite Sirah,US,California,Central Coast,Edna Valley,3,"San Luis Obispo, Central Coast, California, USA"
3585,Petite Sirah,US,California,Central Coast,Livermore Valley,52,"San Francisco Bay, Central Coast, California, USA"
3587,Petite Sirah,US,California,Central Coast,Monterey,7,"Monterey, Central Coast, California, USA"
3588,Petite Sirah,US,California,Central Coast,Monterey County,3,"Monterey, Central Coast, California, USA"
3590,Petite Sirah,US,California,Central Coast,Paso Robles,93,"Paso Robles, Central Coast, California, USA"
3592,Petite Sirah,US,California,Central Coast,Paso Robles Willow Creek District,2,"Paso Robles, Central Coast, California, USA"
3594,Petite Sirah,US,California,Central Coast,San Francisco Bay,2,"San Francisco Bay, Central Coast, California, USA"
3595,Petite Sirah,US,California,Central Coast,Santa Barbara County,10,"Santa Barbara, Central Coast, California, USA"
3596,Petite Sirah,US,California,Central Coast,Santa Clara Valley,8,"San Francisco Bay, Central Coast, California, USA"
3599,Petite Sirah,US,California,Central Coast,Santa Ynez Valley,9,"Santa Barbara, Central Coast, California, USA"
3600,Petite Sirah,US,California,Central Coast,Templeton Gap District,2,"Paso Robles, Central Coast, California, USA"
3601,Petite Sirah,US,California,Central Valley,Clarksburg,17,"Inland Valleys, California, USA"
3603,Petite Sirah,US,California,Central Valley,Lodi,46,"Inland Valleys, California, USA"
3604,Petite Sirah,US,California,Central Valley,Yolo County,2,"Inland Valleys, California, USA"
3606,Petite Sirah,US,California,Lake County,Guenoc Valley,4,"Clear Lake, North Coast, California"
3607,Petite Sirah,US,California,Lake County,High Valley,6,"Clear Lake, North Coast, California"
3608,Petite Sirah,US,California,Lake County,Lake County,19,"Clear Lake, North Coast, California"
3609,Petite Sirah,US,California,Lake County,Red Hills,10,"Clear Lake, North Coast, California"
3610,Petite Sirah,US,California,Mendocino County,Mendocino,18,"Mendocino, North Coast, California, USA"
3611,Petite Sirah,US,California,Mendocino County,Mendocino County,18,"Mendocino, North Coast, California, USA"
3612,Petite Sirah,US,California,Mendocino County,Redwood Valley,7,"Mendocino, North Coast, California, USA"
3613,Petite Sirah,US,California,Napa,Calistoga,11,"Napa Valley, North Coast, California, USA"
3614,Petite Sirah,US,California,Napa,Howell Mountain,4,"Napa Valley, North Coast, California, USA"
3615,Petite Sirah,US,California,Napa,Napa Valley,49,"Napa Valley, North Coast, California, USA"
3616,Petite Sirah,US,California,Napa,Rutherford,2,"Napa Valley, North Coast, California, USA"
3617,Petite Sirah,US,California,Napa,Spring Mountain District,4,"Napa Valley, North Coast, California, USA"
3618,Petite Sirah,US,California,Napa,St. Helena,2,"Napa Valley, North Coast, California, USA"
3619,Petite Sirah,US,California,Napa,Stags Leap District,4,"Napa Valley, North Coast, California, USA"
3620,Petite Sirah,US,California,North Coast,North Coast,8,
3621,Petite Sirah,US,California,North Coast,Suisun Valley,7,"Napa Valley, North Coast, California, USA"
3622,Petite Sirah,US,California,North Coast,Yorkville Highlands,6,"Mendocino, North Coast, California, USA"
3623,Petite Sirah,US,California,Sierra Foothills,Amador County,22,"Sierra Foothills, California, USA"
3624,Petite Sirah,US,California,Sierra Foothills,Calaveras County,7,"Sierra Foothills, California, USA"
3625,Petite Sirah,US,California,Sierra Foothills,El Dorado,23,"Sierra Foothills, California, USA"
3626,Petite Sirah,US,California,Sierra Foothills,El Dorado County,3,"Sierra Foothills, California, USA"
3627,Petite Sirah,US,California,Sierra Foothills,Fair Play,5,"Sierra Foothills, California, USA"
3630,Petite Sirah,US,California,Sierra Foothills,Shenandoah Valley (CA),6,"Sierra Foothills, California, USA"
3631,Petite Sirah,US,California,Sierra Foothills,Sierra Foothills,27,"Sierra Foothills, California, USA"
3632,Petite Sirah,US,California,Sonoma,Alexander Valley,6,"Sonoma Valley, North Coast, California, USA"
3633,Petite Sirah,US,California,Sonoma,Dry Creek Valley,38,"Sonoma Valley, North Coast, California, USA"
3634,Petite Sirah,US,California,Sonoma,Knights Valley,5,"Sonoma Valley, North Coast, California, USA"
3635,Petite Sirah,US,California,Sonoma,Rockpile,7,"Sonoma Valley, North Coast, California, USA"
3636,Petite Sirah,US,California,Sonoma,Russian River Valley,18,"Sonoma Valley, North Coast, California, USA"
3637,Petite Sirah,US,California,Sonoma,Sonoma County,7,"Sonoma Valley, North Coast, California, USA"
3638,Petite Sirah,US,California,Sonoma,Sonoma Valley,4,"Sonoma Valley, North Coast, California, USA"
3639,Petite Sirah,US,California,South Coast,San Diego County,2,"South Coast, California, USA"
3640,Petite Sirah,US,California,South Coast,South Coast,2,"South Coast, California, USA"
3642,Petite Sirah,US,California,South Coast,Temecula Valley,7,"South Coast, California, USA"
3645,Petite Sirah,US,Idaho,none,none,10,"Idaho, USA"
3647,Petite Sirah,US,Oregon,Southern Oregon,Applegate Valley,2,"Southern Oregon, Oregon, USA"
3648,Petite Sirah,US,Oregon,Southern Oregon,Rogue Valley,13,"Southern Oregon, Oregon, USA"
3649,Petite Sirah,US,Oregon,Southern Oregon,Southern Oregon,3,"Southern Oregon, Oregon, USA"
3650,Petite Sirah,US,Washington,Columbia Valley,Columbia Valley (WA),15,"Columbia Valley, Washington, USA"
3651,Petite Sirah,US,Washington,Columbia Valley,Horse Heaven Hills,10,"Columbia Valley, Washington, USA"
3653,Petite Sirah,US,Washington,Columbia Valley,Red Mountain,2,"Columbia Valley, Washington, USA"
3654,Petite Sirah,US,Washington,Columbia Valley,Wahluke Slope,9,"Columbia Valley, Washington, USA"
3655,Petite Sirah,US,Washington,Columbia Valley,Yakima Valley,11,"Columbia Valley, Washington, USA"
3658,"Picolit, Italian White",Italy,Northeastern Italy,Friuli Colli Orientali,none,3,"Friuli-Venezia Giulia, Northeast Italy, Italy"
3660,"Piedirosso, Italian Red",Italy,Southern Italy,Campania,none,2,"Campania, Southern Italy, Italy"
3661,"Piedirosso, Italian Red",Italy,Southern Italy,Campi Flegrei,none,12,"Campania, Southern Italy, Italy"
3663,"Piedirosso, Italian Red",Italy,Southern Italy,Lacryma Christi del Vesuvio,none,5,"Campania, Southern Italy, Italy"
3666,"Piedirosso, Italian Red",Italy,Southern Italy,Taburno,none,2,"Campania, Southern Italy, Italy"
3667,"Pigato, Italian White",Italy,Northwestern Italy,Riviera Ligure di Ponente,none,2,"Liguria, Northwest Italy, Italy"
3670,"Pinot Blanc-Chardonnay, White Blend",France,Alsace,CrÃ©mant d'Alsace,none,3,"Alsace, France"
3675,Pinot Grigio,Argentina,Mendoza Province,Mendoza,none,28,"Mendoza, Argentina"
3676,Pinot Grigio,Argentina,Mendoza Province,Tupungato,none,2,"Mendoza, Argentina"
3677,Pinot Grigio,Argentina,Mendoza Province,Uco Valley,none,8,"Mendoza, Argentina"
3678,Pinot Grigio,Argentina,Mendoza Province,Valle de Uco,none,4,"Mendoza, Argentina"
3679,Pinot Grigio,Argentina,Other,Argentina,none,3,
3680,Pinot Grigio,Argentina,Other,Famatina Valley,none,2,"Catamarca, Argentina"
3681,Pinot Grigio,Argentina,Other,San Juan,none,10,"San Juan, Argentina"
3682,Pinot Grigio,Argentina,Other,Tulum Valley,none,5,"San Juan, Argentina"
3683,Pinot Grigio,Australia,Australia Other,Australia,none,4,
3684,Pinot Grigio,Australia,Australia Other,South Eastern Australia,none,14,
3685,Pinot Grigio,Australia,South Australia,Adelaide Hills,none,15,"South Australia, Australia"
3687,Pinot Grigio,Australia,South Australia,Eden Valley,none,2,"South Australia, Australia"
3688,Pinot Grigio,Australia,South Australia,Fleurieu Peninsula,none,2,"South Australia, Australia"
3691,Pinot Grigio,Australia,South Australia,South Australia,none,7,"South Australia, Australia"
3692,Pinot Grigio,Australia,Tasmania,Tasmania,none,3,"Tasmania, Australia"
3693,Pinot Grigio,Australia,Victoria,Victoria,none,8,"Victoria, Australia"
3695,Pinot Grigio,Austria,Burgenland,none,none,18,"Burgenland, Austria"
3696,Pinot Grigio,Austria,Kamptal,none,none,2,"Niederosterreich, Austria"
3700,Pinot Grigio,Austria,Styria,none,none,2,"Steiermark, Austria"
3701,Pinot Grigio,Austria,SÃ¼doststeiermark,none,none,2,"Steiermark, Austria"
3702,Pinot Grigio,Austria,SÃ¼dsteiermark,none,none,11,"Steiermark, Austria"
3709,Pinot Grigio,Canada,British Columbia,Okanagan Valley,none,5,"British Columbia, Canada"
