Food
raisin
Rajas con crema
raspberry
Ratatouille 
ravioli
redcurrant
Refried beans
relish
rhubarb
ribs
rice
rice pudding
Rillettes
roast
rocket
rolling pin
romaine
Romeritos
Rosca de reyes
rosemary
Rouille de seiche 
runner beans
rye
saffron
sage
Saint Honoré
salad
salad dressing
Salade Niçoise 
salami
Salbutes
salmon
salsa
Salsa chipotle
Salsa verde
sandwich
sardine
sauerkraut
sausage
sausage roll
scallops
scrambled
scrambled eggs
seaweed
seeds
self-raising flour
semi-skimmed milk
sesame seed
shallots
sherbet
shish kebab
shrimp
Sincronizadas
skimmed milk
slaw
sliced loaf
smoked salmon
snack
Socca 
soda
soda bread
sole
Sopa Azteca
Sopa de albondiga
Sopa de fideo
Sopa tarasca
Sopes
sorbet
sorghum
Soufflé
soup
Soupe à l'oignon
Soupe au pistou 
sour cream
soy sauce
soybeans
spaghetti
spareribs
Spätzle
spinach
split peas
sponge cake
spring onion
sprinkles
sprouts
spuds
Squab
squash
squid
steak
stew
strawberry
string bean
strudel
succotash
sultanas
summer squash
sundae
sunflower
sushi
swede
sweet_potato
sweetcorn
Swiss chard
syrup
taco
Taco al pastor
Tacos al pastor
Tacuarines
tamale
Tamales
tangerine
Tangerines
Tapenade 
tapioca
Taquitos
taro
tarragon
tart
Tarte à la mirabelle
Tarte à l'oignon
Tarte flambée
Tarte Normande
Tarte Tatin
Tarte tropézienne 
Tartiflette
tartiflette with ham
teriyaki
Tête de veau
Teurgoule
thyme
Tlacoyos
Tlayudas
toast
toaster
toffee
tofu
tomatillo
tomato
tomato purée
Tomatoes
Tomme cheese
torte
tortilla
Tortillas
Tostadas
Totopo
Tourte
Tourtous aux rillettes d'oie
Trinxat 
Tripas
tripe
Tripoux
trout
truffle
tuna
turkey
turmeric
turnip
Turnips
vanilla
veal
Venado
venison
vinaigrette
wafer
waffle
walnut
wasabi
water chestnut
watercress
watermelon
wheat
whey
whipped cream
white bread
yam
yeast
yoghurt
yogurt
yolk
Yuca
zucchini
